0  # Initial state 
(0, 1, '1b1', 0) 
(0, 1, '2b1', 0) 
(0, 1, '3b1', 0) 
(0, 1, '4b1', 0) 
(0, 1, '5b1', 0) 
(0, -121, '1b2', 0) 
(0, -221, '2b2', 0) 
(0, -321, '3b2', 0) 
(0, -421, '4b2', 0) 
(0, -521, '5b2', 0) 
(0, -131, '1b3', 0) 
(0, -231, '2b3', 0) 
(0, -331, '3b3', 0) 
(0, -431, '4b3', 0) 
(0, -531, '5b3', 0) 
(0, -141, '1b4', 0) 
(0, -241, '2b4', 0) 
(0, -341, '3b4', 0) 
(0, -441, '4b4', 0) 
(0, -541, '5b4', 0) 
(0, -151, '1b5', 0) 
(0, -251, '2b5', 0) 
(0, -351, '3b5', 0) 
(0, -451, '4b5', 0) 
(0, -551, '5b5', 0) 
(1, 0, '1l1', 0) 
(1, 0, '2l1', 0) 
(1, 0, '3l1', 0) 
(1, 0, '4l1', 0) 
(1, 0, '5l1', 0) 
(1, 2, 'b1_on', 0) 
(2, 3, '1b2', 0) 
(2, 3, '2b2', 0) 
(2, 3, '3b2', 0) 
(2, 3, '4b2', 0) 
(2, 3, '5b2', 0) 
(2, -132, '1b3', 0) 
(2, -232, '2b3', 0) 
(2, -332, '3b3', 0) 
(2, -432, '4b3', 0) 
(2, -532, '5b3', 0) 
(2, -142, '1b4', 0) 
(2, -242, '2b4', 0) 
(2, -342, '3b4', 0) 
(2, -442, '4b4', 0) 
(2, -542, '5b4', 0) 
(2, -152, '1b5', 0) 
(2, -252, '2b5', 0) 
(2, -352, '3b5', 0) 
(2, -452, '4b5', 0) 
(2, -552, '5b5', 0) 
(3, 2, '1l2', 0) 
(3, 2, '2l2', 0) 
(3, 2, '3l2', 0) 
(3, 2, '4l2', 0) 
(3, 2, '5l2', 0) 
(3, 4, 'b2_on', 0) 
(4, 5, '1b3', 0) 
(4, 5, '2b3', 0) 
(4, 5, '3b3', 0) 
(4, 5, '4b3', 0) 
(4, 5, '5b3', 0) 
(4, -143, '1b4', 0) 
(4, -243, '2b4', 0) 
(4, -343, '3b4', 0) 
(4, -443, '4b4', 0) 
(4, -543, '5b4', 0) 
(4, -153, '1b5', 0) 
(4, -253, '2b5', 0) 
(4, -353, '3b5', 0) 
(4, -453, '4b5', 0) 
(4, -553, '5b5', 0) 
(5, 4, '1l3', 0) 
(5, 4, '2l3', 0) 
(5, 4, '3l3', 0) 
(5, 4, '4l3', 0) 
(5, 4, '5l3', 0) 
(5, 6, 'b3_on', 0) 
(6, 7, '1b4', 0) 
(6, 7, '2b4', 0) 
(6, 7, '3b4', 0) 
(6, 7, '4b4', 0) 
(6, 7, '5b4', 0) 
(6, -154, '1b5', 0) 
(6, -254, '2b5', 0) 
(6, -354, '3b5', 0) 
(6, -454, '4b5', 0) 
(6, -554, '5b5', 0) 
(7, 6, '1l4', 0) 
(7, 6, '2l4', 0) 
(7, 6, '3l4', 0) 
(7, 6, '4l4', 0) 
(7, 6, '5l4', 0) 
(7, 8, 'b4_on', 0) 
(8, 9, '1b5', 0) 
(8, 9, '2b5', 0) 
(8, 9, '3b5', 0) 
(8, 9, '4b5', 0) 
(8, 9, '5b5', 0) 
(9, 8, '1l5', 0) 
(9, 8, '2l5', 0) 
(9, 8, '3l5', 0) 
(9, 8, '4l5', 0) 
(9, 8, '5l5', 0) 
(9, 10, 'b5_on', 1) 
