0  # Initial state 
(0, 1, '1b1', 0) 
(0, 1, '2b1', 0) 
(0, 1, '3b1', 0) 
(0, 1, '4b1', 0) 
(0, 1, '5b1', 0) 
(0, 1, '6b1', 0) 
(0, 1, '7b1', 0) 
(0, 1, '8b1', 0) 
(0, 1, '9b1', 0) 
(0, 1, '10b1', 0) 
(0, -121, '1b2', 0) 
(0, -221, '2b2', 0) 
(0, -321, '3b2', 0) 
(0, -421, '4b2', 0) 
(0, -521, '5b2', 0) 
(0, -621, '6b2', 0) 
(0, -721, '7b2', 0) 
(0, -821, '8b2', 0) 
(0, -921, '9b2', 0) 
(0, -1021, '10b2', 0) 
(0, -131, '1b3', 0) 
(0, -231, '2b3', 0) 
(0, -331, '3b3', 0) 
(0, -431, '4b3', 0) 
(0, -531, '5b3', 0) 
(0, -631, '6b3', 0) 
(0, -731, '7b3', 0) 
(0, -831, '8b3', 0) 
(0, -931, '9b3', 0) 
(0, -1031, '10b3', 0) 
(0, -141, '1b4', 0) 
(0, -241, '2b4', 0) 
(0, -341, '3b4', 0) 
(0, -441, '4b4', 0) 
(0, -541, '5b4', 0) 
(0, -641, '6b4', 0) 
(0, -741, '7b4', 0) 
(0, -841, '8b4', 0) 
(0, -941, '9b4', 0) 
(0, -1041, '10b4', 0) 
(0, -151, '1b5', 0) 
(0, -251, '2b5', 0) 
(0, -351, '3b5', 0) 
(0, -451, '4b5', 0) 
(0, -551, '5b5', 0) 
(0, -651, '6b5', 0) 
(0, -751, '7b5', 0) 
(0, -851, '8b5', 0) 
(0, -951, '9b5', 0) 
(0, -1051, '10b5', 0) 
(1, 0, '1l1', 0) 
(1, 0, '2l1', 0) 
(1, 0, '3l1', 0) 
(1, 0, '4l1', 0) 
(1, 0, '5l1', 0) 
(1, 0, '6l1', 0) 
(1, 0, '7l1', 0) 
(1, 0, '8l1', 0) 
(1, 0, '9l1', 0) 
(1, 0, '10l1', 0) 
(1, 2, 'b1_on', 0) 
(2, 3, '1b2', 0) 
(2, 3, '2b2', 0) 
(2, 3, '3b2', 0) 
(2, 3, '4b2', 0) 
(2, 3, '5b2', 0) 
(2, 3, '6b2', 0) 
(2, 3, '7b2', 0) 
(2, 3, '8b2', 0) 
(2, 3, '9b2', 0) 
(2, 3, '10b2', 0) 
(2, -132, '1b3', 0) 
(2, -232, '2b3', 0) 
(2, -332, '3b3', 0) 
